Stock,Model,Accuracy,Precision,Recall,F1,ROC-AUC
RELIANCE,Logistic Regression,0.4878048780487805,0.6239316239316239,0.24172185430463577,0.34844868735083534,0.5273357988589777
RELIANCE,Random Forest,0.4277673545966229,0.48314606741573035,0.1423841059602649,0.21994884910485935,0.5161835956537943
RELIANCE,XGBoost,0.44090056285178236,0.5434782608695652,0.08278145695364239,0.14367816091954022,0.5059487973395258
TCS,Logistic Regression,0.46904315196998125,0.46446700507614214,0.7176470588235294,0.5639445300462249,0.4945549442798702
TCS,Random Forest,0.5140712945590994,0.49019607843137253,0.39215686274509803,0.4357298474945534,0.515686274509804
TCS,XGBoost,0.5121951219512195,0.4885844748858447,0.4196078431372549,0.45147679324894513,0.53630272252786
HDFCBANK,Logistic Regression,0.4202626641651032,0.6037735849056604,0.1,0.17158176943699732,0.566387910798122
HDFCBANK,Random Forest,0.47842401500938087,0.6666666666666666,0.2625,0.37668161434977576,0.588174882629108
HDFCBANK,XGBoost,0.44090056285178236,0.6341463414634146,0.1625,0.25870646766169153,0.6004694835680751
INFY,Logistic Regression,0.5365853658536586,0.5477582846003899,0.9493243243243243,0.6946847960444994,0.5225795415668834
INFY,Random Forest,0.5422138836772983,0.6238095238095238,0.44256756756756754,0.5177865612648221,0.5832620595278822
INFY,XGBoost,0.5478424015009381,0.6341463414634146,0.4391891891891892,0.5189620758483033,0.5957278481012658
ICICIBANK,Logistic Regression,0.5290806754221389,0.524390243902439,0.9381818181818182,0.6727509778357236,0.561000704721635
ICICIBANK,Random Forest,0.5159474671669794,0.9047619047619048,0.06909090909090909,0.12837837837837837,0.6004439746300212
ICICIBANK,XGBoost,0.5178236397748592,0.78125,0.09090909090909091,0.16286644951140064,0.5661804087385484
